ID,Party,Date,VehicleNo,Volume,Rate,Product,Amount
142,PAVITRA,2023-07-17,KA01AE8655,240,87.07,Diesel,20896.8
143,PAVITRA,2023-07-17,NL01Q5265,260,87.07,Diesel,22638.2
144,PAVITRA,2023-07-17,KA01AG6055,260,87.07,Diesel,22638.2
145,PAVITRA,2023-07-19,KA01AG2055,250,87.07,Diesel,21767.5
146,PAVITRA,2023-07-19,TN28BJ3957,100,87.07,Diesel,8707
147,PAVITRA,2023-07-19,KA01AE4519,240,87.07,Diesel,20896.8
148,PAVITRA,2023-07-19,KA01AE4519,260,87.07,Diesel,22638.2
149,PAVITRA,2023-07-20,MH43BG7160,250,87.07,Diesel,21767.5
150,PAVITRA,2023-07-21,KA01AG6055,260,87.07,Diesel,22638.2
151,PAVITRA,2023-07-22,KA01AE8655,260,87.07,Diesel,22638.2
152,PAVITRA,2023-07-22,KA01AE4519,260,87.07,Diesel,22638.2
153,PAVITRA,2023-07-23,NL01Q5265,260,87.07,Diesel,22638.2
154,SML,2023-07-05,KA01AH0744,280,87.07,Diesel,24379.6
155,SML,2023-07-06,TN28BA9727,290,87.07,Diesel,25250.3
156,SML,2023-07-07,KA01AG2219,260,87.07,Diesel,22638.2
157,SML,2023-07-10,KA01AH0744,300,87.07,Diesel,26121
158,SML,2023-07-10,KA01AH3353,270,87.07,Diesel,23508.9
159,SML,2023-07-12,MP09HG4625,250,87.07,Diesel,21767.5
160,SML,2023-07-13,TN28AH1459,324,87.07,Diesel,28210.68
161,SML,2023-07-13,TN28AH1559,327,87.07,Diesel,28471.89
162,SML,2023-07-14,KA01AG2219,260,87.07,Diesel,22638.2
163,SML,2023-07-15,KA01AH0745,230,87.07,Diesel,20026.1
164,SML,2023-07-16,TN28BA9727,190,87.07,Diesel,16543.3
165,SML,2023-07-17,KA01AH0744,300,87.07,Diesel,26121
166,SML,2023-07-17,AP39TQ7568,380,87.07,Diesel,33086.6
167,SML,2023-07-18,KA01AH3353,270,87.07,Diesel,23508.9
168,SML,2023-07-19,KA01AG2219,240,87.07,Diesel,20896.8
169,SML,2023-07-19,KA01AH0745,380,87.07,Diesel,33086.6
170,SML,2023-07-20,TN28BA9727,290,87.07,Diesel,25250.3
171,SML,2023-07-23,KA01AG2219,260,87.07,Diesel,22638.2
172,SML,2023-07-23,TN28AW1559,328,87.07,Diesel,28558.96
173,SML,2023-07-24,TN28AW1459,324,87.07,Diesel,28210.68
174,SML,2023-07-24,KA01AE4419,240,87.07,Diesel,20896.8
175,PAVITRA,2023-07-24,KA01AG2055,250,87.07,Diesel,21767.5
176,GCC,2023-07-24,Milcy Turbo and  Cloth,5.903,87.07,Diesel,513.97
177,PAVITRA,2023-07-25,KA01AE4516,260,87.07,Diesel,22638.2
178,PAVITRA,2023-07-26,KA01AG6055,260,87.07,Diesel,22638.2
179,PAVITRA,2023-07-27,NL01Q5265,260,87.07,Diesel,22638.2
180,PAVITRA,2023-07-28,KA01AE8655,240,87.07,Diesel,20896.8
181,SML,2023-07-25,TN28BA9727,290,87.07,Diesel,25250.3
182,SML,2023-07-27,KA01AH0744,300,87.07,Diesel,26121
183,SML,2023-07-27,MP09HG4625,250,87.07,Diesel,21767.5
184,SML,2023-07-28,KA01AH3353,270,87.07,Diesel,23508.9
185,SML,2023-07-28,KA01AG2219,240,87.07,Diesel,20896.8
186,SML,2023-07-28,KA01AH0745,230,87.07,Diesel,20026.1
187,GCC,2023-07-28,,800,87.07,Diesel,69656
188,GCC,2023-07-25,KA19HA3634,9.1,101.06,Petrol,919.65
189,PAVITRA,2023-07-09,TN88J3754,200,87.07,Diesel,17414
190,3 Truck - Rai Estates,2023-05-18,KA19AE0035,223,87.07,Diesel,19416.61
191,3 Truck - Rai Estates,2023-05-22,KA19AE0035,239,87.07,Diesel,20809.73
192,3 Truck - Rai Estates,2023-06-14,KA19AE0035,266.64,87.07,Diesel,23216.3448
193,Deepa Karthika - Shanmugha,2023-07-14,KA01AG2655,290,87.07,Diesel,25250.3
194,Deepa Karthika - Shanmugha,2023-07-07,KA01AG2655,300,87.07,Diesel,26121
195,BAWA,2023-07-13,KA19AD3925,50,87.07,Diesel,4353.5
196,BAWA,2023-07-14,KA19AC1693,180,87.07,Diesel,15672.6
197,BAWA,2023-07-25,KA19AC1693,180,87.07,Diesel,15672.6
198,PLAMA,2023-07-26,From 8/07 (20L),320,87.07,Diesel,27862.4
199,SMP Transport,2023-07-28,KA01AD2296,270,87.07,Diesel,23508.9
200,LAXMI,2023-07-28,KA21A4925,300,87.07,Diesel,26121
201,SUDHARSHAN,2023-07-28,KA01AH1912,297,87.07,Diesel,25859.79
202,PONNI,2023-07-28,KA01AC8137,297,87.07,Diesel,25859.79
203,NIRMALA,2023-07-26,KA01AF6797,282,87.07,Diesel,24553.74
204,MAHALAXMI,2023-07-24,KA01AE7722,352,87.07,Diesel,30648.64
205,GOMATHA,2023-07-15,KA01D4412,294,87.07,Diesel,25598.58
206,SUDHARSHAN,2023-07-18,KA01AH1912,295,87.07,Diesel,25685.65
207,SUDHARSHAN,2023-07-10,KA01AH1917,295,87.07,Diesel,25685.65
208,SANGAMITRA,2023-07-19,KA01AD2874,300,87.07,Diesel,26121.0
209,PAVITRA,2023-07-29,KA01AE4519,240,87.07,Diesel,20896.8
210,PAVITRA,2023-07-29,KA01AE4516,260,87.07,Diesel,22638.2
211,PAVITRA,2023-07-29,MH43BG7160,250,87.07,Diesel,21767.5
212,PAVITRA,2023-07-29,KA21A3448,250,87.07,Diesel,21767.5
213,SML,2023-07-29,MP09HG4625,270,87.07,Diesel,23508.9
214,SML,2023-07-29,TN28BA9727,190,87.07,Diesel,16543.3
215,SML,2023-07-29,KA01AE4419,260,87.07,Diesel,22638.2
216,PAVITRA,2023-07-31,KA01AG2055,250,87.07,Diesel,21767.5
217,Thenpandin T,2023-07-31,KL09AG9027,240,87.07,Diesel,20896.8
218,LAXMI,2023-07-31,KA01AH4194,330,87.07,Diesel,28733.1
219,GCC,2023-08-01,KA20EV2068,6.93,101.06,Petrol,700.35
220,PAVITRA,2023-08-01,KA01AG6055,260,87.07,Diesel,22638.2
221,BAWA,2023-08-01,KA19AC1693,180,87.07,Diesel,15672.6
222,Ankur,2023-08-01,KA01AE5969,270,87.07,Diesel,23508.9
223,Selvam (Sanmuga),2023-08-01,TN28AR9267,290,87.07,Diesel,25250.3
224,SMP Transport,2023-08-02,KA01AG6783,265,87.07,Diesel,23073.55
225,SML,2023-08-02,KA01AG2219,260,87.07,Diesel,22638.2
226,GCC,2023-08-03,,800,87.07,Diesel,69656
