party,date,vehicleno,volume,rate,product,amount,
PAVITRA,2023-07-19,KA01AE4519,240,87.07,Diesel,20896.8,
PAVITRA,2023-07-19,KA01AE4519,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-20,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-21,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-22,KA01AE8655,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-22,KA01AE4519,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-23,NL01Q5265,260,87.07,Diesel,22638.199999999997,
SML,2023-07-05,KA01AH0744,280,87.07,Diesel,24379.6,
SML,2023-07-06,TN28BA9727,290,87.07,Diesel,25250.3,
SML,2023-07-07,KA01AG2219,260,87.07,Diesel,22638.199999999997,
SML,2023-07-10,KA01AH0744,300,87.07,Diesel,26120.999999999996,
SML,2023-07-10,KA01AH3353,270,87.07,Diesel,23508.899999999998,
SML,2023-07-12,MP09HG4625,250,87.07,Diesel,21767.5,
SML,2023-07-13,TN28AH1459,324,87.07,Diesel,28210.679999999997,
SML,2023-07-13,TN28AH1559,327,87.07,Diesel,28471.89,
SML,2023-07-14,KA01AG2219,260,87.07,Diesel,22638.199999999997,
SML,2023-07-15,KA01AH0745,230,87.07,Diesel,20026.1,
SML,2023-07-16,TN28BA9727,190,87.07,Diesel,16543.3,
SML,2023-07-17,KA01AH0744,300,87.07,Diesel,26120.999999999996,
SML,2023-07-17,AP39TQ7568,380,87.07,Diesel,33086.6,
SML,2023-07-18,KA01AH3353,270,87.07,Diesel,23508.899999999998,
SML,2023-07-19,KA01AG2219,240,87.07,Diesel,20896.8,
SML,2023-07-19,KA01AH0745,380,87.07,Diesel,33086.6,
SML,2023-07-20,TN28BA9727,290,87.07,Diesel,25250.3,
SML,2023-07-23,KA01AG2219,260,87.07,Diesel,22638.199999999997,
SML,2023-07-23,TN28AW1559,328,87.07,Diesel,28558.96,
SML,2023-07-24,TN28AW1459,324,87.07,Diesel,28210.679999999997,
SML,2023-07-24,KA01AE4419,240,87.07,Diesel,20896.8,
PAVITRA,2023-07-24,KA01AG2055,250,87.07,Diesel,21767.5,
GCC,2023-07-24,Milcy Turbo and  Cloth,5.903,87.07,Diesel,513.97421,,
